Index_No,Chemical_Name,CAS_No,Hazard_Statement_Codes,SCL_M_Factors
028-017-00-9,nickel dipotassium bis(sulfate) [1] | diammonium nickel bis(sulfate)  [2] |,13842-46-1 [1] | 15699-18-0 [2] |,H350i | H341 | H360D *** | H332 | H302 | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-018-00-4,nickel bis(sulfamidate); | nickel sulfamate,13770-89-3,H350i | H341 | H360D *** | H302 | H372 ** | H334 | H317 | H400 | H410 |,"Oral: ATE = 853 mg/kg bw | STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: ,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ ,01 % | M=1 |"
028-019-00-X,nickel bis(tetrafluoroborate),14708-14-6,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-021-00-0,"nickel diformate [1] | formic acid, nickel salt [2] | formic acid, copper nickel salt  [3] |",3349-06-2 [1] | 15843-02-4 [2] | 68134-59-8 [3] |,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-022-00-6,nickel di(acetate) [1] | nickel acetate [2] |,373-02-4 [1] | 14998-37-9 [2] |,H350i | H341 | H360D *** | H332 | H302 | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-024-00-7,nickel dibenzoate,553-71-9,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-025-00-2,nickel bis(4-cyclohexylbutyrate),3906-55-6,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-026-00-8,nickel(II) stearate; nickel(II) octadecanoate,2223-95-2,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-027-00-3,nickel dilactate,16039-61-5,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-028-00-9,nickel(II) octanoate,4995-91-9,H350i | H341 | H360D *** | H372 ** | H314 | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-029-00-4,nickel difluoride [1] | nickel dibromide [2] | nickel diiodide [3] | nickel potassium fluoride  [4] |,10028-18-9 [1] | 13462-88-9 [2] | 13462-90-3 [3] | 11132-10-8 [4] |,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-030-00-X,nickel hexafluorosilicate,26043-11-8,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-031-00-5,nickel selenate,15060-62-5,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-046-00-7,nickel dithiocyanate,13689-92-4,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-047-00-2,nickel dichromate,15586-38-6,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
028-053-00-5,"nickel dichlorate [1] | nickel dibromate [2] | ethyl hydrogen sulfate, nickel(II) salt  [3] |",67952-43-6 [1] | 14550-87-9 [2] | 71720-48-4 [3] |,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 %1 | M=1 |"
028-054-00-0,"nickel(II) trifluoroacetate [1] | nickel(II) propionate [2] | nickel bis(benzenesulfonate) [3] | nickel(II) hydrogen citrate [4] | citric acid, ammonium nickel salt [5] | citric acid, nickel salt [6] | nickel bis(2-ethylhexanoate) [7] | 2-ethylhexanoic acid, nickel salt [8] | dimethylhexanoic acid nickel salt [9] | nickel(II) isooctanoate [10] | nickel isooctanoate [11] | nickel bis(isononanoate) [12] | nickel(II) neononanoate [13] | nickel(II) isodecanoate [14] | nickel(II) neodecanoate [15] | neodecanoic acid, nickel salt [16] | nickel(II) neoundecanoate [17] | bis(.sc.d.sc.-gluconato-O1,O2)nickel [18] | nickel 3,5-bis(tert-butyl)-4-hydroxybenzoate (1:2) [19] | nickel(II) palmitate [20] | (2-ethylhexanoato-O)(isononanoato-O)nickel [21] | (isononanoato-O)(isooctanoato-O)nickel [22] | (isooctanoato-O)(neodecanoato-O)nickel [23] | (2-ethylhexanoato-O)(isodecanoato-O)nickel [24] | (2-ethylhexanoato-O)(neodecanoato-O)nickel [25] | (isodecanoato-O)(isooctanoato-O)nickel [26] | (isodecanoato-O)(isononanoato-O)nickel [27] | (isononanoato-O)(neodecanoato-O)nickel [28] | fatty acids, C6-19-branched, nickel salts [29] | fatty acids, C8-18 and C18-unsaturated, nickel salts [30] | 2,7-naphthalenedisulfonic acid, nickel(II) salt [31] |",16083-14-0 [1] | 3349-08-4 [2] | 39819-65-3 [3] | 18721-51-2 [4] | 18283-82-4 [5] | 22605-92-1 [6] | 4454-16-4 [7] | 7580-31-6 [8] | 93983-68-7 [9] | 29317-63-3 [10] | 27637-46-3 [11] | 84852-37-9 [12] | 93920-10-6 [13] | 85508-43-6 [14] | 85508-44-7 [15] | 51818-56-5 [16] | 93920-09-3 [17] | 71957-07-8 [18] | 52625-25-9 [19] | 13654-40-5 [20] | 85508-45-8 [21] | 85508-46-9 [22] | 84852-35-7 [23] | 84852-39-1 [24] | 85135-77-9 [25] | 85166-19-4 [26] | 84852-36-8 [27] | 85551-28-6 [28] | 91697-41-5 [29] | 84776-45-4 [30] | 72319-19-8 [31] |,H350i | H341 | H360D *** | H372 ** | H334 | H317 | H400 | H410 |,"STOT RE 1; H372: C ≥ 1 % | STOT RE 2; H373: 0,1 % ≤ C < 1 % | Skin Sens. 1; H317: C ≥ 0,01 % | M=1 |"
029-002-00-X,dicopper oxide; | copper (I) oxide,1317-39-1,H332 | H302 | H318 | H400 | H410 |,Inhalation: ATE = 3.34 mg/L (dusts/mists) | Oral: ATE = 500 mg/kg bw | M=100 | M=10 |
029-015-00-0,copper thiocyanate,1111-67-7,H400 | H410 |,M=10 | M=10 |
029-016-00-6,copper(II) oxide,1317-38-0,H400 | H410 |,M=100 | M=10 |
029-017-00-1,dicopper chloride trihydroxide,1332-65-6,H301 | H332 | H400 | H410 |,Oral: ATE = 299 mg/kg bw | Inhalation: ATE = 2.83 mg/L (dusts/mists) | M=10 | M=10 |
